英文,中文(DM),中文(github),中文(内部),日文
Just Resize,拉伸引导图像以适配画布（不推荐）,仅调整大小（拉伸）,仅调整大小（拉伸）,単純に変形
https://github.com/klimaleksus/stable-diffusion-webui-conditioning-highres-fix.git,,,,https://github.com/klimaleksus/stable-diffusion-webui-conditioning-highres-fix.git
Style to fuse,,,,Style to fuse
Keep -1 for seeds,保持随机种子为-1,保持随机种子为-1,保持随机种子为-1,シード値を-1で固定
Abandoned,,,,削除された
Meli/GPT2-Prompt,,,,Meli/GPT2-Prompt
Hide samplers in user interface (requires restart),在用户界面中隐藏采样器（需要保存设置并重启）,在用户界面中隐藏采样器（需要保存设置并重启）,在用户界面中隐藏采样器（需要保存设置并重启）,使わないサンプリングアルゴリズムを隠す (再起動が必要)
Padding radius in pixels ? padding,,,,ピクセル単位のパディング半径 <unk> padding
Parse Recipe,,剖析配方,剖析配方,
Final image not showing up? Try using this workaround ? use_workaround,,,,最終画像が表示されませんか？この回避策を使用してみてください ? use_workaround
Prerequisites and Important Info:,,,,前提条件と重要情報：
Custom width,,,,カスタム幅
negative,负面,负面,负面,ネガティブ
Keep models in VRAM,,,保持反推模型在显存中,
Scale Learning Rate,缩放学习率,缩放学习率,缩放学习率,
Use delta values for movement parameters,,,,移動パラメーターにデルタ値を使用
ControlNet v1.1.219,扩散控制网络(ControlNet),,,
hardtanh,hardtanh,,,hardtanh
"Progressbar/preview update period, in milliseconds",进度条/预览更新周期(毫秒),进度条/预览更新周期(毫秒),进度条/预览更新周期(毫秒),進捗バー/プレビューの更新期間（ミリ秒）
"These scripts allow for dynamic CFG control during generation steps. With the right settings, this could help get the details of high CFG without damaging the generated image even with low denoising in img2img.",,,,これらのスクリプトは、生成ステップ中の動的なCFG制御を可能にします。適切な設定により、img2imgでノイズ除去が少ない場合でも、生成された画像にダメージを与えることなく、高CFGの詳細を得ることができる可能性があります。
reflection,,,,反射
[ControlNet] Enabled,,,,[ControlNet] 有効化
sd-webui-bilingual-localization,双语本地化插件,双语对照翻译插件,双语对照翻译插件,sd-webui-bilingual-localization
Arm Length,整体臂长,,,
Enable Tiled VAE,启用 分块VAE(Tiled VAE),,启用分块VAE,
Output format,,,,出力形式
pluralize,,,,複数形
Swap X/Z axes,XZ互换,XZ互换,XZ互换,X/Z軸を入れ替える
Train Embedding,训练 Embedding,训练 Embedding,训练 Embedding,Embeddingの学習を開始
Tag Autocomplete,Tag自动填充,Tag自动填充,Tag自动填充,自動タグ補完
ControlNet v1.1.225,扩散控制网络(ControlNet),,,
Preview mask,预览蒙版,,预览,
ControlNet v1.1.116,扩散控制网络(ControlNet),,,
sd-webui-regional-prompter,,,,sd-webui-regional-prompter
sd,,,,sd
Steps (Number of images between each seed),,,,ステップ (各シード間の画像数)
Use PNG alpha channel as loss weight,,,使用PNG的alpha通道作为loss权重,PNGのアルファチャンネルをロスウェイトとして使用する。
https://github.com/toshiaki1729/stable-diffusion-webui-text2prompt.git,,,,https://github.com/toshiaki1729/stable-diffusion-webui-text2prompt.git
Force Reset,强制重置,强制重置,强制重置,
config,,配置,配置,設定
is,,,,is
Interrupt,中止,中止,中止,中断
Rebuild exif cache,,,重建exif缓存,Exifキャッシュを再構築
Padding,,,,余白
Make Images,生成图片（OpenPose + 手脚部位的深度图、法线贴图、硬边缘检测图）,,,
Resize seed from width,宽度(Resize seed),宽度(Resize seed),宽度(Resize seed),元の幅と対応するシードからのサイズ変更
Supported engines:,,,,サポートしているエンジン:
Limit the height of preivews to the height of the browser window (.html preview files are always limited regardless of this setting),,,,プレビューの高さをブラウザウィンドウの高さまでに制限する (.html プレビューファイルはこの設定に関係なく常に制限されます)
ControlNet v1.1.295,扩散控制网络(ControlNet),,,
model_name,,模型名,模型名,
Colorprimaryactive,Colorprimaryactive,,,
Repeats,,,,繰り返し数
"You can generate image layout either in single image or in batch. Since there might be A LOT of outputs, there is no gallery for preview. You need to go to the output folder for either single image or batch process.",可在此生成单个图像或批量图像布局。由于可能有很多输出，因此不提供页面预览，需要转到单个图像或批处理的输出文件夹查看,,这个功能将输入的图片拆分成多个图层（每个图层一张图），这可能将产生很多图片。,
Include Sub Images,预览子图像,预览次级图像,预览次级图像,サブ画像を含める
(noise multiplier; higher = more unperdictable results),,,（噪音的倍增幅度，此参数越高结果就会越不可预知）,
no image selected,,,未输入图片,
Rotation 3D X,,,,3D回転X
Randomize Highres. Width,随机化 高分辨率修复的第一遍的宽度,随机化 高清修复的第一遍的宽度,随机化 高清修复的第一遍的宽度,
"DFI processing analyzes the motion of the original video, and attempts to force that information into the generated video. Demo on https://github.com/AbyszOne/Abysz-LAB-Ext",,,,"DFI processing analyzes the motion of the original video, and attempts to force that information into the generated video. Demo on https://github.com/AbyszOne/Abysz-LAB-Ext"
DreamArtist Train,梦作家 训练,梦作家 训练,梦作家 训练,ドリームアーティストのトレーニングを行う
Dilation factor (B),扩张因子 (B),扩张因子 (B),扩张因子 (B),
Token Merging - Merge attention,合并关注层(attention),,,
Latent tile batch size,潜空间图块(Latent tile)批处理规模,潜变量分块(Latent tile)批处理规模,潜变量分块(Latent tile)批处理规模,Latentタイル バッチサイズ
Unprompted Seed,,,,未プロンプトのシード値
MultiDiffusion,分块多重扩散(MultiDiffusion),,,MultiDiffusion
Towards Controllable One-Shot Text-to-Image Generation via Contrastive Prompt-Tuning.,通过对比调整提示词，实现可控的单发文本到图像生成,通过对比调整提示词，实现可控的单发文本到图像生成,通过对比调整提示词，实现可控的单发文本到图像生成,Towards Controllable One-Shot Text-to-Image Generation via Contrastive Prompt-Tuning.
dot size,,,,ドットサイズ
regex - e.g. ^(?!.*Hires).*$,使用正则表达式，如^(?!.*Hires).*$,使用正则表达式，如^(?!.*Hires).*$,使用正则表达式，如^(?!.*Hires).*$,正規表現 - 例: ^(?!.*Hires).*$
ControlNet v1.1.153,扩散控制网络(ControlNet),,,
LDSR processing steps. Lower = faster,LDSR 处理步数。越少越快,LDSR 处理步数。越少越快,LDSR 处理步数。越少越快,LDSRの処理ステップ(低いほど速い)
"Convert currently loaded checkpoint into ONNX. The conversion will fail catastrophically if TensorRT was used at any point prior to conversion, so you might have to restart webui before doing the conversion.",,,将当前加载的chenckpoint转换为ONNX格式。如果在转换之前的任何时候使用过TensorRT，则转换将失败，因此您可能需要在转换之前重新启动webui。,
ControlNet v1.1.181,扩散控制网络(ControlNet),,,
ControlNet v1.1.111,扩散控制网络(ControlNet),,,
sr,,,,sr
rw,,,,rw
openpose_face,姿态检测（openpose 模型，OpenPose 算法，姿态+脸部）,,姿态检测（OpenPose 算法，身体+脸部）,
This is your models list.,,这是您的模型列表,这是您的模型列表,
Custom size,,,,任意のサイズ
"Extra paths to scan for LoRA models, comma-separated. Paths containing commas must be enclosed in double quotes. In the path, "" (one quote) must be replaced by """" (two quotes).","扫描 LoRA 模型的附加目录，以逗号分隔。包含逗号的路径必须用双引号括起来。 在路径中，""（一个引号）必须替换为""""（两个引号）。","扫描 LoRA 模型的附加目录，以逗号分隔。包含逗号的路径必须用双引号括起来。 在路径中，""（一个引号）必须替换为""""（两个引号）。","扫描 LoRA 模型的附加目录，以逗号分隔。包含逗号的路径必须用双引号括起来。 在路径中，""（一个引号）必须替换为""""（两个引号）。","追加でスキャンする LoRA モデルのパス (カンマで区切って複数指定)。パスの中でカンマを含む場合は必ず二重引用符で囲む必要がある。パス内の '' (単一引用符) は """" (二重引用符) に置き換える必要がある。"
then press 'Apply' to write them to,,,然后点击“应用”按钮把配置文件写入,
Vertical Mirroring,垂直镜像,垂直镜像,垂直镜像,上下鏡映化
Hypernetwork-MonkeyPatch-Extension,,,,Hypernetworks-Monkeypatch拡張
Auto TLS-HTTPS,自动 TLS-HTTPS,自动 TLS-HTTPS,自动 TLS-HTTPS,Auto TLS-HTTPS
Mask,蒙版,蒙版,蒙版,マスク
Booru tag autocompletion,Booru 标签(tag)自动补全,Booru 标签(tag)自动补全,Booru 标签(tag)自动补全,Booru tag autocompletion
Replace spaces with a comma and a space,,"用逗号', '替换空格","用逗号', '替换空格",
Disable image generation. Useful if you only want to generate text prompts. (1 image will still be generated to keep Auto1111 happy.).,,,,画像生成を無効にします。プロンプトのテキストのみを生成したい場合に便利です。(Auto1111の状態を維持するため、1枚の画像は生成されます。)
Help,帮助,帮助,帮助,
ultrafast,,,,最高に速い
"(skip negative prompt for some steps when the image is almost ready; 0=disable, higher=faster)",,,（在图片已经基本完成时跳过部分负面提示词的处理步骤；0=不跳过，此参数越高跳过的步骤越多，速度也就越快）,
(0 = maximum effect; 1 = minimum effect),,,（0表示影响越大，1表示影响越小）,
Aspect Ratio selector,,,,Aspect Ratio selector
scribble_hed,涂鸦处理（scribble 模型，HED 算法）,,涂鸦处理（scribble，HED 算法）,
Accent,Catppuccin 主题风格（按钮颜色，根据主题样式不同会发生变化，不一定完全与描述相同）,Catppuccin 主题风格（按钮颜色，根据主题样式不同会发生变化，不一定完全与描述相同）,Catppuccin 主题风格（按钮颜色，根据主题样式不同会发生变化，不一定完全与描述相同）,
The annotator directory inside the SAM extension directory is only a symbolic link. This is to save your space and make the extension repository clean.,SAM 插件目录中的预处理器目录只是一个符号链接，这是为了节省您的空间并使扩展存储库变得干净,,分割万物（Segment Anything）插件目录下的预处理器文件夹只是一个符号链接，它并没有真正占用您的储存空间,
"Gamepad repeat period, in milliseconds",,,手柄的采样周期(ms),
Max Resolution,,,,最大解像度
EMA replace steps (positive),EMA 替换步数 (正),EMA 替换步数 (正),EMA 替换步数 (正),EMAの置換ステップ（ポジティブ）
spaceship-digipa-low-impact,,,,宇宙船演算子(digipa-low-impact)
sd-webui-supermerger,SuperMerger,,,
Target tokens (comma separated),需要分离的目标词（逗号分隔）,,要阻断互相污染的提示词（逗号分隔）,対象となるトークン (カンマ区切り)
shift-attention,关注转移,关注转移,关注转移,shift-attention
WDv1.4 Tagger Score Threshold,WD1.4 Tag反推算法 置信阈值下限,,,WDv1.4 タグのスコアしきい値
DeepBooru,,,,DeepBooru
ddim,ddim,,,
Checkpoint Merger,模型合并,模型合并,模型合并,Checkpointのマージ
"Hires Fix , Batch size",高分辨率修复 & 批量图片生成,,,
tg,,,,tg
Custom Theme.,,自定义主题,自定义主题,カスタムテーマ
Control Model - 4,控制模型-4,,,
"Edit the pose of 3D models in the WebUI, and generate Openpose/Depth/Normal/Canny maps for ControlNet.",,,,WebUIで3Dモデルのポーズを編集し、ControlNet用のOpenpose/Depth/Normal/Cannyマップを生成します。
Search,搜索,搜索,搜索,検索
ControlNet v1.1.205,扩散控制网络(ControlNet),,,
FOR HELP CLICK HERE,,,,ヘルプはこちら
depth_leres++,深度估算（depth 模型，LeReS++ 算法）,,深度检测（depth，LeReS++ 算法）,
Hide heatmap images,,,,ヒートマップ画像を非表示
reference_adain+attn,图像参考（无需模型，AdaIN 算法+注意力层图像链接）,,图像参考（无需模型，AdaIN风格转移+注意力链接）,
eu,,,,eu
Preload images at startup,在启动时预加载图像,在启动时预加载图像,在启动时预加载图像,起動時に画像をプリロードする
embedding-inspector,,,,embedding-inspector
"Upscale masked region to target resolution, do inpainting, downscale back and paste into original image",将蒙版区域（包括预留像素长度的缓冲区域）放大到目标分辨率，进行局部重绘。\n然后缩小并粘贴回原始图像中,将蒙版区域（包括预留像素长度的缓冲区域）放大到目标分辨率，进行局部重绘。\n然后缩小并粘贴回原始图像中,将蒙版区域（包括预留像素长度的缓冲区域）放大到目标分辨率，进行局部重绘。\n然后缩小并粘贴回原始图像中,
Draw mask,绘制蒙版,绘制蒙版,绘制蒙版,
Crop to fit,裁剪以适应宽高比,裁剪以适应宽高比,裁剪以适应宽高比,合うように切り抜き
Removed specified value(s) from the array ? _remove,,,,指定した値を配列から削除する ? _remove
Source language,需要被翻译的语言,,,
EulerDiscrete,,,,EulerDiscrete
free_youdao_zh,,,,free_youdao_zh
Noise Inversion,噪声反转,,,
Interpolate an existing video,,,,既存のビデオを補間する
Video output,,视频输出,视频输出,
like here,,,,ここのように
3D Model,,,,3Dモデル
Re-run your combinatorial batch this many times with a different seed each time.,,,,毎回異なるシードを使って、組み合わせバッチを何度も再実行します。
subtract,,,,減算
Select this if you want to use the same seed for every generated image.\nThis is useful if you want to test prompt variations while using the same seed.\nIf there are no wildcards then all the images will be identical.,勾选此选项以对每张生成的图像用同样的随机种子\n这在想用同样的随机种子测试提示词变化时会有用\n没有通配符则所有图像会相同,勾选此选项以对每张生成的图像用同样的随机种子\n这在想用同样的随机种子测试提示词变化时会有用\n没有通配符则所有图像会相同,勾选此选项以对每张生成的图像用同样的随机种子\n这在想用同样的随机种子测试提示词变化时会有用\n没有通配符则所有图像会相同,すべての画像に同じシードを使用する場合は、これを選択します。\nこれは、プロンプトのバリエーションをテストしたい場合に便利です。\nワイルドカードがない場合は、画像は全て同じものになります。
all,全部,全部,全部,すべて
Dimension lower bound,,,边长最小值,寸法（幅、高さ）の下限値
Always print all generation info to standard output,始终将所有生成信息输出到 standard output (一般为控制台),始终将所有生成信息输出到 standard output (一般为控制台),始终将所有生成信息输出到 standard output (一般为控制台),常にすべての生成に関する情報を標準出力(stdout)に出力する
Plot,图表,绘表,绘表,描画
Upscale Before Restoring Faces,放大后再进行面部修复,放大后再进行面部修复,放大后再进行面部修复,
characters,,,,文字数
ControlNet v1.1.293,扩散控制网络(ControlNet),,,
Append value(s) to the array ? _append,,,,配列に値を末尾に追加する ? _append
Conditioning Highres.fix strength (for sd-v1-5-inpainting),高分辨率修复原图调节强度 (专为 sd-v1-5-inpainting 设计),高清修复原图调节强度 (专为 sd-v1-5-inpainting 设计),高清修复原图调节强度 (专为 sd-v1-5-inpainting 设计),コンディショニングHighres.fix強度(sd-v1-5 inpaint用)
"Maximum mask size (if a bigger mask is found, it will bypass the shortcode) ? mask_size_max",,,,最大マスクサイズ（より大きなマスクが見つかった場合、ショートコードはバイパスされます）? mask_size_max
(O2) Output ckpt Name,,(O2) ckpt 输出名,(O2) ckpt 输出名,
Calculates the average between frames to merge them. It may be more practical if you don't have a specific Blend deflicker value in mind.,,,,Calculates the average between frames to merge them. It may be more practical if you don't have a specific Blend deflicker value in mind.
Resume from timestring,,,,タイムスタンプから再開する
overlap,,,,重ね合わせ
"Determines the movement tolerance of the scan. Low tolerance will detect even small changes in static areas. High values will detect less movements. Ideally, it should detect the movements that are important to you, and skip the static and useless areas, reducing the flick in those.",,,,スキャンの移動許容度を決定します。許容範囲が低いと、静止している部分の小さな変化も検知してしまいます。高い値では、より少ない動きを検出します。理想的には、重要な動きを検出し、静的な部分や無駄な部分をスキップして、それらのフリックを減らすことです。
(only applies if non-zero and overrides above),,,（此参数取0时则使用全局Token合并率）,
Save in .safetensors format,,,,.safetensors形式で保存
How many classifier/regularization images to generate at once.,一次生成多少分类/规范化图像。,一次生成多少分类/规范化图像。,一次生成多少分类/规范化图像。,
Colorbgspotlight,Colorbgspotlight,,,
Control Model - 7,控制模型-7,,,
bn,,,,bn
eo,,,,eo
hyper,超网络(Hypernetwork),hyper,hyper,
"To enable, check use_mask in the Init tab",,,,有効にするには、initタブのuse_maskをチェックしてください
snakecase,,,,スネークケース
--api,,,,--api
"for explanation of each parameter. If you still cannot understand, use default.",查看所有可选参数的说明，看不懂请保持默认，为方便与原文对照，此段参数不做翻译,,”查看，如果您不清楚如何设置，请保持默认值。,
A generic prompt used to generate a sample image to verify model fidelity.,,,,モデルの忠実度を検証するためのサンプル画像の生成に使用される汎用プロンプト。
zeros,,,,ゼロ
Step size (grad mode),步幅 (梯度模式),步幅 (梯度模式),步幅 (梯度模式),
"For hires fix, calculate conds of second pass using extra networks of first pass.",,,高清修复时，使用和第一步相同的额外网络.,
Copy to Inpaint Upload & ControlNet Inpainting,>>局部重绘(上传蒙版) & >>ControlNet 进行局部重绘,,复制到局部重绘（上传蒙版）或ControlNet重绘,
exclusion,,,,除外
"Process an image, use it as an input, repeat.",处理一张图像，将其作为输入，并重复,处理一张图像，将其作为输入，并重复,处理一张图像，将其作为输入，并重复,
Network module (used throughout this tab),附加网络模块(仅此页面使用),附加网络类型(仅此页面使用),附加网络类型(仅此页面使用),
Deselect visible tags,取消选择可见的 Tag,,,表示中のタグの選択を解除
Save masks,保存蒙版,保存蒙版,保存蒙版,
Some settings have been moved to the settings tab. Find them in the Dynamic Prompts section.,,,,いくつかの設定は、設定タブに移動されています。ダイナミックプロンプトのセクションを探してください。
Update Parameters,,,,パラメーターを更新
Interpolation Method,合并算法（具体说明会显示在页面顶部）,合并算法（具体说明会显示在页面顶部）,合并算法（具体说明会显示在页面顶部）,混合(Interpolation)方式
"Original value, with advanced expression support ? _from",,,,高度な式サポートを持つ元の値 ? _from
Save score as EXIF or PNG Info Chunk,,,,スコアをEXIFまたはPNGチャンクに保存
Ending Control Step,干涉结束步数,,干涉结束位置,
mbw alpha and beta,分层设置 α和β（每2行为一组）,,,
Upscale factor,,,,アップスケール係数
Redraw options:,,,,再描画オプション:
Delimiter to check for ? _delimiter,,,,チェックする区切り文字 ? _delimiter
https://github.com/AlUlkesh/stable-diffusion-webui-images-browser.git,,,,https://github.com/AlUlkesh/stable-diffusion-webui-images-browser.git
OUT_B_10,,模型B 输出层10,模型B 输出层10,
Chess,,,,チェス
Video Output Settings,,,,ビデオ出力の設定
Auto,,,,自動
Dynamic Prompts enabled,启用动态提示词,启用动态提示词,启用动态提示词,Dynamic Prompts 有効化
Generate bounding box,生成选区,,生成包围盒,
Replace order (replace mode),取代顺序 (取代模式),取代顺序 (取代模式),取代顺序 (取代模式),
# of threads to use for hash calculation (increase if using an SSD),用于哈希计算的线程数（如果使用SSD可适当增加）,用于哈希计算的线程数（如果使用SSD可适当增加）,用于哈希计算的线程数（如果使用SSD可适当增加）,ハッシュ計算に # 個のスレッドを使用する (SSDを使用する場合は増加)
softmax2d,softmax2d,,,softmax2d
An object detection and auto-mask extension for Stable Diffusion web UI.,一个物件检测与自适应蒙版扩展,一个物件检测与自适应蒙版扩展,一个物件检测与自适应蒙版扩展,Stable DiffusionのWeb UI用のオブジェクト検出と自動マスクの拡張機能です。
Maximum number of faces to detect,,,检测面部的最大数量,
Remember to use same fps as generated video for DFI,,,,Remember to use same fps as generated video for DFI
make_grid,,制作宫格,制作宫格,
Upload Mask to ControlNet Inpainting,上传蒙版到 ControlNet 局部重绘的相关设置,,上传蒙版到ControlNet重绘,
Maximum denoising strength ? denoising_max,,,,最大ノイズ除去強度→ ノイズ除去 最大
Append Movement tags from CLIP,,,,CLIPからムーブメントタグを追加
words,,,,単語
Benchmark Data,基准数据,,,
Use CPU Only (SLOW),只用 CPU (很慢),只用 CPU (很慢),只用 CPU (很慢),
Copy to favorites,复制到收藏夹,复制到收藏夹,复制到收藏夹,
"Here, a random number between 1 and 3 words from adjective.txt will be chosen and joined together with the word 'and' instead of the default comma.",此处，会从 adjective.txt 中选取随机 1 至 3 行，以 'and' (而不是默认的逗号)拼接,此处，会从 adjective.txt 中选取随机 1 至 3 行，以 'and' (而不是默认的逗号)拼接,此处，会从 adjective.txt 中选取随机 1 至 3 行，以 'and' (而不是默认的逗号)拼接,"この場合1~3の単語がadjective.txtから選択され、それらの単語がandで接続されます。デフォルト設定はカンマ”,”です。"
training,训练相关,训练相关,训练相关,トレーニング
wd14-vit-v2,,,,wd14-vit-v2
pinpoint blocks (alpha or beta must be selected for another axis),受另一个轴控制的 层ID,,,
fill it with colors of the image,用图像的颜色(高强度模糊)填充它,用图像的颜色(高强度模糊)填充它,用图像的颜色(高强度模糊)填充它,元画像の色で埋める
Decays learning rate every cycle,,,,各サイクルの学習率を算出する
Layer4 mask blur,,,,Layer4 マスクのぼかし
Frames to process,,,,Frames to process
Video extract,,,,Video extract
kk,,,,kk
"In loopback mode, on each loop the denoising strength is multiplied by this value. <1 means decreasing variety so your sequence will converge on a fixed picture. >1 means increasing variety so your sequence will become more and more chaotic.",在回送模式下，在每个循环中，重绘幅度都会乘以该值。<1 表示减少多样性，因此你的这一组图将集中在固定的图像上。>1 意味着增加多样性，因此你的这一组图将变得越来越混乱,在回送模式下，在每个循环中，重绘幅度都会乘以该值。<1 表示减少多样性，因此你的这一组图将集中在固定的图像上。>1 意味着增加多样性，因此你的这一组图将变得越来越混乱,在回送模式下，在每个循环中，重绘幅度都会乘以该值。<1 表示减少多样性，因此你的这一组图将集中在固定的图像上。>1 意味着增加多样性，因此你的这一组图将变得越来越混乱,
Affine,,,,アフィン
info: Returns various types of metadata about the content.,,,,info: コンテンツに関する様々な種類のメタデータを返します。
DELETE cannot be undone. The files will be deleted completely.,删除无法撤回，文件将被彻底删除,,,「削除」操作は取り消せません。ファイルは完全に削除されます。
(A3) Primary,,(A3) 主要,(A3) 主要,
Layer2 mask blur,,,,Layer2 マスクのぼかし
Total Number of Class/Reg Images,用于分类/规范化的图像总数,用于分类/规范化的图像总数,用于分类/规范化的图像总数,
eta (noise multiplier) for DDIM,DDIM 的 eta (噪声乘数) ,DDIM 的 eta (噪声乘数) ,DDIM 的 eta (噪声乘数) ,DDIMで用いるeta (noise multiplier)
Save crops to:,储存裁剪好的成品到：,储存裁剪好的成品到：,储存裁剪好的成品到：,作成した画像の保存先：
Show sample per step,,,,ステップごとにサンプルを表示する
daspartho/prompt-extend,,,,daspartho/prompt-extend
cfg_scale,,,,cfgスケール
translate,翻译,,,翻訳
Positive Filter,正面筛选条件,,,正のフィルター
steps,采样迭代步数(Steps),采样迭代步数(Steps),采样迭代步数(Steps),ステップ数
"Mask alpha, must be used in conjunction with mask color ? sketch_alpha",,,,マスクアルファ。マスクカラーと併用する必要があります。 ? sketch_alpha
Config file for Adapter models,自适应模型(Adapter models)的配置文件,自适应模型(Adapter models)的配置文件,自适应模型(Adapter models)的配置文件,Adapter モデルの設定ファイル
Clear inputs,,清除输入,清除输入,
Tweening frames schedule,,,,中間フレームのスケジュール
Control Model - 3,控制模型-3,,,
kebabcase,,,,ケバブケース
override_settings,,,覆盖的设置,
"weights for alpha, base alpha,IN00,IN02,...IN11,M00,OUT00,...,OUT11",各层 α 权重,,,
Coherence:,,相干性:,相干性:,
Layer2 mask strength,,,,レイヤー2のマスク不透明度
Generate all possible prompts up to a maximum of Batch count * Batch size),生成不超过（生成批次 * 每批数量）的所有可能的提示词,生成不超过（生成批次 * 每批数量）的所有可能的提示词,生成不超过（生成批次 * 每批数量）的所有可能的提示词,
realesrgan-x4plus,,,,realesrgan-x4plus
Replace Class with Subject in Caption,将描述文本中的类(Class)替换成主体(Subject),将描述文本中的类(Class)替换成主体(Subject),将描述文本中的类(Class)替换成主体(Subject),キャプションのクラスをサブジェクトに置き換える
Custom Model Name,,,,カスタムモデル名
Destination seed(s) (Comma separated),目标种子 (逗号分割),目标种子 (逗号分割),目标种子 (逗号分割),宛先シード値(カンマ区切り)
Generate a .ckpt file when saving during training.,,,,トレーニング中に保存するときに .ckpt ファイルを生成します。
wd-v1-4-swinv2-tagger-v2,,,,wd-v1-4-swinv2-tagger-v2
Resize mode,缩放模式,缩放模式,缩放模式,サイズ変更の方式
wd-v1-4-vit-tagger-v2,,,,wd-v1-4-vit-tagger-v2
Step multiplier per cycle,,,,サイクルごとのステップ乗数
DAAM,,,,DAAM
you can get the artists or art styles list from here,,,,ここからアーティストやアートスタイルのリストを手に入れることができます
segmentation,语义分割（ADE20k 协议）,ADE20k 语义分割（Semantic segmentation）,ADE20k 语义分割（Semantic segmentation）,segmentation
Save copy of large images as JPG,,,图片过大时保存JPG副本,
